behavior,legacy_opnet,current_ns3,matlab_classification,matlab_evidence,decision_or_backlog,tranche
T11_r1_ACK_power_adapter,No_OPNET_execution,Native_reference_unchanged,Owner_R2025a_repair_validated,All4cases_and52tests_completed_after_test_only_power_default,124acceptedMATLABfiles_unchanged_held_fixed33dBm_no_further_T11_rerun_needed,11r1
T11_clock_boundary_residual,No_OPNET_execution,Native_integer_ns_ingress_before_slot_tick,Documented residual,Slow2p011501s_counter_MATLAB15_NS3_16_at_ingress_before_after_all_other_fields_equal,Source_backed_one_ULP_ordering_no_observed_service_effect_other_workloads_unproven,11
T12_relay_local_service,No_OPNET_execution,Native120of120delivered180hoprelease2344events332draws,Focused structural pass; strict trace differs,R2025a120of120delivery_164checks_180NSDPreleases_2344events332draws,Uniform28ns_offset_fiveDACKcallback_samples_differ_no_observed_service_effect_no_fullnetwork_claim,12
T12_DACK_capacity_tail,No_OPNET_execution,Nativeholdsmix4_sw1at16s_zero24s_real20sexpiry,Focused capacity result matches,R2025a_mix4_sw1holds_at16s_all0at24s_no_DATAcustody_or_resends_at_stop,Actual_expiry_instants_not_observed_future_loss_recovery_should_keep_offers_active,12
T12_clock_boundary,No_OPNET_execution,Native6cases18observations72checks,Focused clock checks passed; expected residual,R2025a_8tests_72checks_pass_5integer_cases_exact_continuous3rows4fields_differ,No_global_clock_change_separate_quantized_transport_case_only,12
T12_reference_gate,Not_applicable,255disabled_seam_controlsmatch6rawdraw_rejectiontests,Focused milestone verified,259sources132refs_72of72tests_all241priorbindings130MATLABunchanged,Fullacceptance_and_numericalparity_not_established_controlled_transport_only,12
T13_controlled_DATA_feedback_loss,No_OPNET_execution,Native96of96_percase384total_delivery_556ACK20DACK_zero_failed_terminal,MATLAB execution pending,Four64s_cases16newtests88selected264checks_prepared,Exact_return_comparison_pending_fixed_routes_and_prescribed_transport_no_PHY_or_campus_claim,13
T13_continued_demand_capacity_release,No_OPNET_execution,Native_blocked_source4_demand_overlaps_DACKholds_admissions_resume_all_final_MAC_HOP_NWK_clear,MATLAB execution pending,48apps_persource_due_through28s_realNSDP16_admission_before40s_fixed64s_stop,Finite_driver_not_production_ApplicationGenerator_no_manual_queue_clear,13
T13_ACK_loss_recovery,No_OPNET_execution,Native_two_feedback_groups_lost_later_cumulative_feedback_recovers_zero_DATA_retransmits,MATLAB execution pending,Exactuint64_bitmap_export_and_terminal_custody_distinct_from_gateway_delivery,ACK_loss_forcing_DATA_retransmission_not_exercised_by_this_case,13
T13_relay_link_blackout,No_OPNET_execution,Native_two5to1DATA_groups_lost_two_retries_all96deliver,MATLAB execution pending,Policy_bothdirections_bothlinks_TXstart_halfopen8to9p5s_node5_continues,Observed_losses_only5to1_no_node_reboot_route_reconvergence_or_all_direction_exercise_claim,13
T13_receiver_group_loss,No_OPNET_execution,Native25negative_group_boundary_checks_pass_47artifact_hashes_verified,MATLAB execution pending,Actual_loss_groups_singleton_mixedkind_companions_independent_receivers_covered_by_native_selftests,Loss_decision_once_perreceiver_TXstart_allcompanions_suppressed_before_MAC_HOP_ingress,13
T13_baseline_preservation,Not_applicable,255clean_vs_disabled_seam_checkpoints_identical,Unchanged validated baseline,259T12sources135MATLABfiles_unchanged_newdiagnostic_only,No_MATLAB_runtime_or_full_acceptance_claim_before_owner_return,13
T13_owner_fresh_install,No_new_OPNET_execution,Pinned_native_384delivery576successful_terminals,Focused structural milestone verified,R2025a88of88tests264of264checks271sources198refs_all259baseline135MATLABunchanged,Fullregression_campus_and_numericalparity_not_established,13
T13_loss_recovery_outcomes,No_new_OPNET_execution,Native96of96each_retrycounts0_2_0_2,Matches bounded delivery and retry outcomes,Owner384of384sameIDs576samecustodyoutcomes_finalDATA_MAC_HOP_NWKclear,Excluded_pending_control_counts2_2_3_not_all_control_queues_drained,13
T13_data_loss_service_timing,No_new_OPNET_execution,Native_ingress_before_gateway_ACK_at3p144961028s,Documented service residual,Owner_oldACK_before_ingress_4extra_feedback7extra_draws_maxdeliveryplus408p759972ms,Next_fullprecision_before_tie_after_DATAarrival_ACKopportunity_diagnostic_preservebaseline,13
T13_ack_loss_tail_timing,No_new_OPNET_execution,Native_cumulative_feedback_recovers_without_DATAretry,Documented feedback timing residual,Owner5gatewayACKs_and1terminal_about13mslater_allapplication_admissionssame_deliveryminus28ns,No_delivery_or_retry_effect_observed_under_bounded_inputs,13
T13_feedback_kind_labels,No_new_OPNET_execution,Native_ACK_type_carries_ACK_DACK_bitmaps,Documented representation residual,Owner7DACKlabels_percase_nativeACK_samebitmap_semantics_in_aligned_frames,Retain_exact_kind_difference_do_not_claim_wire_type_parity,13
T14_ACK_arrival_boundary,No_OPNET_execution,Native6cases222checks18deliveries202events,MATLAB execution pending,106selectedMATLABtests18new_222ownerchecks_six4sdiagnostics_ready,Receiver_ACKservice_only_reconstructed_source_no_admission_or_campus_claim,14
T14_ACK_service_order,No_OPNET_execution,Native_early_tie_before_continuous_quantized_firstACK3bits7_late_tie_after_firstACK2bits3,Native boundary result verified,Five_gatewayACKs_when_ingress_first_six_when_ACKservice_first_all_finalMACqueuesdrained,MATLAB_fullprecision_hex_actual_schedulerIDs_return_required_globalclock_unchanged,14
T14_reference_preparation,Not_applicable,Native14selftests327clean_disabled_controls67artifact_hashes,Native preparation passed,Current_CSR486d9e0_engine6b5cd24_nine_libraries_freshly_rebuilt,Historical_library_binary_identity_not_claimed_independent_native_and_MATLAB_checkinventories,14
T14_baseline_preservation,Not_applicable,Pinned_native_source_unchanged,Validated T13 source preserved,All271sourcebindings138MATLAB_unchanged_fournewMATLABfiles,MATLAB_runtime_fullacceptance_and_numericalparity_not_established,14
T14_r1_owner_return,No_OPNET_execution,Native_reference_unchanged,Failed new diagnostic; retained baseline passes,R2025a97of106_tests9failed2incomplete_all88retainedpass_6cases_abort3p12s_ACK_App_SourceId,406comparisons_from_truncated_execution_not_a_parity_measurement,14
T14_r1_logger_repair,No_OPNET_execution,All283originalT14referencefiles_unchanged,Repaired candidate; MATLAB rerun pending,DATAonly_App_identity_twoMATLABfiles_repaired_ACK_schema_and_nonempty_case_regressions_106tests,All271T13sources138MATLAB_unchanged_no_production_timing_or_PHY_ECC_change,14
T14_r2_owner_return,No_OPNET_execution,Native_reference_unchanged,Failed diagnostic assembly; retained baseline passes,R2025a88retainedpass18T14setupfailed_inconsistent_case_charwidth_noedgeartifacts,Zero_difference_counter_is_unpopulated_no_case_pass_or_parity_conclusion,14
T14_r2_table_repair,No_OPNET_execution,All299r1_referencefiles_unchanged,Repaired candidate; MATLAB rerun pending,Explicittextcolumns_exactuint64_empty_single_multirow_3independentpreflighttests_109total_percaseevidence,All271T13sources138MATLAB_unchanged_no_protocol_timing_or_PHY_ECC_change,14
T14_r2_completed_owner_return,No_OPNET_execution,Pinned_native_reference_reverified,Focused diagnostic completed,R2025a109of109_tests222checks6cases18deliveries_queue_drain_53artifacts285sources317refs,All271T13sources138MATLAB_unchanged_fullnetwork_acceptance_and_numericparity_not_established,14
T14_ACK_boundary_cause,No_OPNET_execution,Integer_nanosecond_tie_receives_DATA_before_ACK_service,Five_matching_event_traces_continuous_residual_is_service_changing,OneULP_late_ingress4p4408920985e-16s_oldACK2_bitmap3_updatedACK_delayed26ms_oneextraACK_oneextradraw,Local_transport_quantization_restores_fixture_sequence_next_pair_against_continuedtraffic_loss_relay_no_globalclock_or_PHYchange,14
